siren,count,nom,address,cp,Coordonnee X,Coordonnee Y,Latitude,Longitude
438093924,1,ASSOCIATION BIBLIOTHEQUE BRAILLE ENFANTINE,111 avenue parmentier,75011,653959.5,6863284.8,48.86794524772257,2.3723774977400907
438548752,1,LA PLUME D'OR,1 place de l'eglise,22600,274740.0,6808304.6,48.2360936672867,-2.7326491459829625
438578000,2,BOULANGERIE NOURDIN,chef lieu,74360,982582.9,6584147.5,46.294270299553546,6.674177909618112
438798332,4,SAS COURS PARISET,1 rue victorien sardou,10000,777898.3,6800496.1,48.30012860404272,4.050479468953885
438922700,1,PHARMACIE DUCHATEL,avenue louis guillet,17000,377296.1,6571869.2,46.169676222850335,-1.1845355068355032
439069709,1,LE BLOND DENIS,place jean tailliez,62710,696229.2,7040135.1,50.458655136770325,2.9469766094528547
439580416,1,LEIST YASMIN,27 rue principale,67350,1035662.7,6874009.7,48.87848765127521,7.579186589620995
439590571,3,PHARMACIE CREBASSA CORINNE,chef lieu,74470,971091.2,6579006.0,46.25620976697995,6.52215880709608
440029007,1,SAS 656 EDITIONS,21 rue longue,69001,842509.6,6520076.3,45.765400671572564,4.8337252281515095
440109528,1,OFFICE DE TOURISME D'AIGUEBELLE,grande rue,73220,957631.0,6499150.1,45.543345468752214,6.302435251476224
440153153,5,COLLEGE SAINT JOSEPH,30 rue des berceaux,62630,603521.3,7047068.7,50.513475870948994,1.641804077029361
440222560,2,PHONIUM,2 rue du dauphine,21121,853789.9,6695052.1,47.33794526268482,5.036878490865708
440326692,1,APERAM ALLOYS IMPHY SAS,avenue jean jaurès,58160,719834.9,6648202.3,46.93372263281002,3.2607125232133733
440679322,1,ECOLE JEAN PAUL 2,24 rue de marnes,92380,639968.0,6860407.1,48.84091475325981,2.1820642511118677
440692994,2,PHARMACIE ABONDANCE,chef lieu,74360,982582.9,6584147.5,46.294270299553546,6.674177909618112
440892776,12,ENSEMBLE SCOLAIRE MAURICE TIECHE,545 chemin de bottecreux,74160,943726.4,6564420.7,46.13572815760973,6.157834963435692
441692548,5,GUISNEL LOGISTIQUE,route de dinan,35120,348715.2,6837433.7,48.541779258371704,-1.7617451259387618
441913399,1,STATION ANQUETIL SERVICES,route des abymes,97139,657580.4,1797040.4,16.24894800315931,-61.52546842850614
441920717,1,LES CANARDS DE LA GERMAINE,3 rue de l'eglise,80400,698937.3,6959954.0,49.738569401101024,2.9852671258656107
441940905,2,ALVA,route d'orbec,14100,502234.3,6893179.3,49.10789828599166,0.291084942784152
442187340,2,ABYMES SERVICES AUTOMOBILES,route des abymes,97139,657580.4,1797040.4,16.24894800315931,-61.52546842850614
442222501,1,ALOCAZ SARL,rue de l'ecole,76480,549621.6,6928201.6,49.4354889718213,0.9272444069009586
442227914,1,AU JARDIN DES LIVRES,place de la mairie,55320,876335.5,6885920.4,49.04891289265818,5.41252985498982
442333183,1,SELARL LAM HIPPOMENE ET ASSOCIES,rue paul lacave,97110,656847.2,1796391.1,16.243127749848984,-61.53237112996798
442543294,1,COLLEGE NOTRE DAME,2 rue baudelaire,56890,269782.9,6748324.7,47.694504218722045,-2.7405594174280097
442562906,1,LE GRAND PAVOIS,rue de merville,59190,669755.5,7064958.9,50.680728446091116,2.5728304037532617
442687182,4,INTERNATIONAL MANAGEMENT ATHLETES,rue suzanne lanoy,59870,718070.7,7031410.7,50.380086613591864,3.253707515283517
442821294,1,FLORAUTO,quartier les gres,84500,839484.7,6355466.3,44.284322513074294,4.747936863429559
442940151,9,COLLEGE LYCEE SAINT JOSEPH,18 rue lemyre de villers,41100,555680.1,6745624.2,47.79515604447617,1.072142151819748
443190541,16,ENSEMBLE SCOLAIRE NOTRE DAME,avenue d'hauterive,81101,638929.6,6278240.0,43.60058525002015,2.243868854071432
